Date,Open,High,Low,Close,Volume,Time
2023-10-18,895.45,895.5,894.8,895.45,11970,13:40:00
2023-10-18,895.4,895.7,894.7,895.7,5761,13:45:00
2023-10-18,895.6,898.7,895.45,898.7,12848,13:50:00
2023-10-18,898.6,899.65,897.5,898.15,15092,13:55:00
2023-10-18,898.05,899.1,897.65,898.0,10140,14:00:00
2023-10-18,897.8,898.15,897.0,898.0,8587,14:05:00
2023-10-18,898.0,899.0,897.55,898.6,7104,14:10:00
2023-10-18,898.6,899.4,896.7,897.15,11600,14:15:00
2023-10-18,897.05,897.6,896.0,896.35,8683,14:20:00
2023-10-18,896.35,896.5,895.3,896.05,8521,14:25:00
2023-10-18,896.05,897.5,895.6,895.95,10036,14:30:00
2023-10-18,895.85,896.35,894.7,895.85,7676,14:35:00
2023-10-18,895.85,895.85,893.3,893.3,28739,14:40:00
2023-10-18,893.2,894.75,892.1,894.45,33657,14:45:00
2023-10-18,894.45,894.65,893.5,893.75,11402,14:50:00
2023-10-18,894.0,894.0,893.55,893.55,8070,14:55:00
2023-10-18,893.65,896.35,893.5,895.75,32111,15:00:00
2023-10-18,895.75,896.35,894.65,895.05,16943,15:05:00
2023-10-18,895.1,896.0,895.1,895.65,23056,15:10:00
2023-10-18,895.4,896.5,895.0,896.5,29435,15:15:00
2023-10-18,896.4,897.1,895.45,896.7,48202,15:20:00
2023-10-18,896.7,896.85,895.15,895.35,25185,15:25:00
2023-10-18,895.25,895.7,895.25,895.7,508,15:30:00
2023-10-19,894.7,894.7,886.6,887.25,78559,09:15:00
2023-10-19,886.85,887.7,883.1,883.55,40086,09:20:00
2023-10-19,883.15,884.85,881.0,881.4,65762,09:25:00
2023-10-19,881.4,881.95,879.05,881.7,35905,09:30:00
2023-10-19,881.5,883.4,880.85,882.65,26648,09:35:00
2023-10-19,882.65,883.8,880.7,880.7,26526,09:40:00
2023-10-19,880.9,881.2,879.9,880.25,13550,09:45:00
2023-10-19,880.25,882.25,880.0,880.75,20226,09:50:00
2023-10-19,880.7,883.65,880.7,883.0,20887,09:55:00
2023-10-19,883.0,884.0,882.45,883.8,18169,10:00:00
2023-10-19,883.95,884.0,882.25,882.65,19897,10:05:00
2023-10-19,882.9,882.95,881.5,881.75,17992,10:10:00
2023-10-19,881.75,883.25,881.55,882.3,14014,10:15:00
2023-10-19,882.65,882.85,881.0,882.55,15381,10:20:00
2023-10-19,882.5,882.95,881.9,882.5,8096,10:25:00
2023-10-19,882.5,882.9,882.35,882.55,6368,10:30:00
2023-10-19,882.6,882.6,881.0,881.25,14354,10:35:00
2023-10-19,881.25,882.4,881.0,882.35,13983,10:40:00
2023-10-19,882.0,882.8,882.0,882.2,16782,10:45:00
2023-10-19,882.55,882.55,882.0,882.45,5415,10:50:00
2023-10-19,882.25,883.25,882.0,883.25,23424,10:55:00
2023-10-19,883.1,886.7,882.75,885.75,28489,11:00:00
2023-10-19,885.75,886.75,885.7,886.05,15147,11:05:00
2023-10-19,886.05,888.0,885.8,886.05,25102,11:10:00
2023-10-19,886.35,887.6,886.0,886.35,4732,11:15:00
2023-10-19,886.25,887.0,885.85,886.75,13781,11:20:00
2023-10-19,887.0,890.0,886.65,889.05,31874,11:25:00
2023-10-19,889.15,890.85,889.15,890.05,30274,11:30:00
2023-10-19,890.05,891.75,890.05,890.3,22836,11:35:00
2023-10-19,890.5,890.9,889.7,890.2,7645,11:40:00
2023-10-19,890.15,892.8,890.15,892.35,26670,11:45:00
2023-10-19,892.35,893.0,892.2,893.0,12568,11:50:00
2023-10-19,892.65,893.0,892.0,892.15,10137,11:55:00
